,title,originallink,link,description,pubDate
0,"'THE 맛녀석' 황제성, <b>김해준</b> 디스에 당혹…&quot;겸허하게 수용할 것&quot;",http://www.starnewsk.com/news/articleView.html?idxno=45266,http://www.starnewsk.com/news/articleView.html?idxno=45266,"가장 먼저 촬영장에 도착해 자신의 특집에 대한 설렘을 감추지 못하던 황제성은 김준현, 문세윤, <b>김해준</b>이... 막내 <b>김해준</b>도 황제성에 대한 재치 있는 평가로 재미를 더한다. <b>김해준</b>은 '직급을 위로 올라가려 하지 말고... ","Thu, 03 Apr 2025 15:18:00 +0900"
1,"황제성, 11년 후배 디스에 말문 턱…&quot;겸허히 수용한다&quot; (THE맛녀석)",http://www.osen.co.kr/article/G1112537312,https://m.entertain.naver.com/article/109/0005274854,"가장 먼저 촬영장에 도착해 자신의 특집에 대한 설렘을 감추지 못하던 황제성은 김준현, 문세윤, <b>김해준</b>이... 막내 <b>김해준</b>도 황제성에 대한 재치 있는 평가로 재미를 더한다. <b>김해준</b>은 ‘직급을 위로 올라가려 하지 말고... ","Thu, 03 Apr 2025 12:11:00 +0900"
2,"황제성 민낯 밝혀졌다…<b>김해준</b>, 촌천살인 팩폭 봤더니 (THE 맛있는 녀석...",https://www.xportsnews.com/article/1981588,https://m.entertain.naver.com/article/311/0001846774,"가장 먼저 촬영장에 도착해 자신의 특집에 대한 설렘을 감추지 못하던 황제성은 김준현, 문세윤, <b>김해준</b>이... 막내 <b>김해준</b>도 황제성에 대한 재치 있는 평가로 재미를 더한다. <b>김해준</b>은 ‘직급을 위로 올라가려 하지 말고... ","Thu, 03 Apr 2025 10:39:00 +0900"
3,‘THE맛녀석’ 황제성의 민낯,https://www.bntnews.co.kr/article/view/bnt202504030079,https://www.bntnews.co.kr/article/view/bnt202504030079,"가장 먼저 촬영장에 도착해 자신의 특집에 대한 설렘을 감추지 못하던 황제성은 김준현, 문세윤, <b>김해준</b>이... 막내 <b>김해준</b>도 황제성에 대한 재치 있는 평가로 재미를 더한다. <b>김해준</b>은 ‘직급을 위로 올라가려 하지 말고... ","Thu, 03 Apr 2025 10:28:00 +0900"
4,윤형빈 15년만에 소극장 문 닫는다 “아들 매니지먼트 한다면 말릴 것”...,https://www.newsen.com/news_view.php?uid=202504020904441910,https://m.entertain.naver.com/article/609/0000970656,"현재 KBS 2TV '개그콘서트'에서 활약 중인 신윤승, 조수연, 박민성을 비롯해 개그맨 정찬민, 신규진, <b>김해준</b>, 최지용, 박세미, 유튜브 채널 '싱글벙글' 김두현, 최지명, 이유미, 개그 아이돌 코쿤, tvN '코미디빅리그' 출신... ","Wed, 02 Apr 2025 09:40:00 +0900"
5,변화하는 코미디 트렌드 속에서 지키는 ‘코미디 소극장’의 가치 [D:이...,https://www.dailian.co.kr/news/view/1479131/?sc=Naver,https://m.entertain.naver.com/article/119/0002939922,"실제 윤형빈소극장에서도 신윤승, 조수연, 박민성을 비롯해 개그맨 정찬민, 신규진, <b>김해준</b>, 최지용, 박세미, 유튜브 채널 ‘싱글벙글’ 김두현, 최지명, 이유미, 개그 아이돌 코쿤, tvN ‘코미디빅리그’ 출신 나보람... ","Tue, 01 Apr 2025 11:12:00 +0900"
6,"‘THE 맛녀석’ 문세윤, 쪼는맛 게임에 흑화?",https://sports.khan.co.kr/article/202503312352003?pt=nv,https://m.entertain.naver.com/article/144/0001029284,"다 조작이 가능하다”라며 <b>김해준</b>에게 기록 측정을 요청했다. 그 결과 제작진이 측정한 기록은 2분 12초 32였고, <b>김해준</b>이 측정한 기록은 2분 12초 15였다. 이에 문세윤은 “거봐! 거짓말했지”라고 억지 주장을 하며... ","Mon, 31 Mar 2025 23:53:00 +0900"
7,"'4월의 신부' 배우 황신정, (사)한국영화배우협회 전 이사장 김국현 장...",https://www.sportsworldi.com/newsView/20250331519654,https://m.entertain.naver.com/article/396/0000704649,"두 사람의 결혼식은 강남 ‘아르베웨딩’에서 진행될 예정이며 <b>김해준</b> 디렉터가 참여한다. 축가는 이시안, 정준교, 빅토리아가 맡아 콘서트 같은 무대를 선보일 예정이다. 연기자 황신정은 북한에서도 상영된 바 있는 영화... ","Mon, 31 Mar 2025 21:46:00 +0900"
8,"'THE 맛녀석' 문세윤, 제작진에 '조작 의혹' 제기…&quot;못 믿겠어&quot;",http://www.newskr.kr/news/articleView.html?idxno=98482,http://www.newskr.kr/news/articleView.html?idxno=98482,"다 조작이 가능하다&quot;며 <b>김해준</b>에게 기록 측정을 요청했다. 그 결과 제작진이 측정한 기록은 2분 12초 32였고, <b>김해준</b>이 측정한 기록은 2분 12초 15였다. 이에 문세윤은 &quot;거봐! 거짓말했지&quot;라고 억지 주장을 하며 제작진을... ","Mon, 31 Mar 2025 13:20:00 +0900"
9,"문세윤, 제작진 조작 의혹 제기했다…&quot;거짓말, 못 믿겠어&quot; ('맛녀석')",https://tenasia.hankyung.com/article/2025033194804,https://m.entertain.naver.com/article/312/0000706275,"다 조작이 가능하다&quot;라며 <b>김해준</b>에게 기록 측정을 요청했다. 그 결과 제작진이 측정한 기록은 2분 12초 32였고, <b>김해준</b>이 측정한 기록은 2분 12초 15였다. 이에 문세윤은 &quot;거봐! 거짓말했지&quot;라고 억지 주장을 하며 제작진을... ","Mon, 31 Mar 2025 11:38:00 +0900"
